binary,hardware,size,array_size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
fast,xs-4114,8,80000,2,50.41,,,,,,53377740.0,91731.0,278568.0,82892.0,11696.0,4079.0
fast,xs-4114,8,80000,2,53.47,96300955.0,155619787.0,577048.0,58454.0,11835.0,,,,,,
fast,xs-4114,8,80000,3,52.17,,,,,,53411640.0,95101.0,266605.0,69140.0,11637.0,3796.0
fast,xs-4114,8,80000,3,40.7,96798107.0,155591539.0,577247.0,80661.0,12384.0,,,,,,
fast,xs-4114,8,80000,4,53.47,,,,,,53782993.0,101401.0,308319.0,83232.0,8638.0,2472.0
fast,xs-4114,8,80000,4,53.27,96387467.0,155671325.0,577646.0,75302.0,12258.0,,,,,,
fast,xs-4114,8,80000,5,38.31,,,,,,54022687.0,119605.0,313564.0,89799.0,6310.0,266.0
fast,xs-4114,8,80000,5,52.72,96175031.0,155653726.0,575279.0,58752.0,12957.0,,,,,,
fast,xs-4114,10,100000,1,61.31,,,,,,67699040.0,113214.0,336580.0,97748.0,8549.0,2060.0
fast,xs-4114,10,100000,1,61.18,121703512.0,195024740.0,748219.0,59464.0,12125.0,,,,,,
fast,xs-4114,10,100000,2,59.36,,,,,,67910116.0,122036.0,339361.0,81699.0,9388.0,2742.0
fast,xs-4114,10,100000,2,60.8,120985755.0,195033790.0,735771.0,70864.0,12577.0,,,,,,
fast,xs-4114,10,100000,3,59.7,,,,,,67893759.0,113537.0,322053.0,89965.0,10375.0,3626.0
fast,xs-4114,10,100000,3,49.57,121004131.0,195054448.0,728656.0,61373.0,12735.0,,,,,,
fast,xs-4114,10,100000,4,67.14,,,,,,65103866.0,134917.0,281739.0,123491.0,12454.0,4859.0
fast,xs-4114,10,100000,4,48.38,120825350.0,195030940.0,725579.0,61273.0,12432.0,,,,,,
fast,xs-4114,10,100000,5,49.56,,,,,,68627275.0,111177.0,340475.0,96852.0,11385.0,1024.0
fast,xs-4114,10,100000,5,60.67,120818231.0,195040694.0,729858.0,61081.0,12960.0,,,,,,
slow,i7-13700,1,10000,1,310.91,,,,,,1778179514.0,188733.0,670294.0,103078.0,7808.0,60.0
slow,i7-13700,1,10000,1,313.06,1213089110.0,4251793114.0,10200907.0,90356.0,9807.0,,,,,,
slow,i7-13700,1,10000,2,313.24,,,,,,1780668049.0,163631.0,639880.0,97873.0,9179.0,176.0
slow,i7-13700,1,10000,2,311.99,1214463761.0,4251532852.0,10167796.0,80515.0,8592.0,,,,,,
slow,i7-13700,1,10000,3,311.72,,,,,,1773706197.0,151165.0,592027.0,110322.0,12014.0,950.0
slow,i7-13700,1,10000,3,311.15,1212918592.0,4251616002.0,10146880.0,81813.0,9307.0,,,,,,
slow,i7-13700,1,10000,4,313.98,,,,,,1782511717.0,197119.0,740571.0,123291.0,12251.0,768.0
slow,i7-13700,1,10000,4,312.31,1215779680.0,4251592721.0,10202843.0,82862.0,10167.0,,,,,,
slow,i7-13700,1,10000,5,314.07,,,,,,1778017341.0,164986.0,679086.0,118363.0,10835.0,270.0
slow,i7-13700,1,10000,5,312.01,1216548077.0,4251668662.0,10173702.0,77639.0,11587.0,,,,,,
slow,i7-13700,2,20000,1,1304.18,,,,,,7099301704.0,3810883.0,9181900.0,197043.0,29680.0,397.0
slow,i7-13700,2,20000,1,1300.27,5161022304.0,17007273697.0,48136769.0,165650.0,16610.0,,,,,,
slow,i7-13700,2,20000,2,1304.28,,,,,,7097931525.0,3854899.0,9175886.0,169351.0,29215.0,190.0
slow,i7-13700,2,20000,2,1301.95,5167382960.0,17006224770.0,48279133.0,154910.0,12093.0,,,,,,
slow,i7-13700,2,20000,3,1303.29,,,,,,7105341866.0,3851090.0,9258324.0,190656.0,29259.0,417.0
slow,i7-13700,2,20000,3,1309.69,5197926866.0,17006614294.0,48383632.0,148174.0,11368.0,,,,,,
slow,i7-13700,2,20000,4,1306.4,,,,,,7102247533.0,3850824.0,9215366.0,180584.0,30563.0,165.0
slow,i7-13700,2,20000,4,1316.37,5222863188.0,17006942246.0,48060290.0,135237.0,13526.0,,,,,,
slow,i7-13700,2,20000,5,1302.7,,,,,,7103612561.0,3862665.0,9236806.0,178399.0,31461.0,276.0
slow,i7-13700,2,20000,5,1304.69,5172052642.0,17006448384.0,48041776.0,136409.0,13602.0,,,,,,
slow,i7-13700,4,40000,1,5296.83,,,,,,28380308449.0,20688731.0,50073388.0,476396.0,113845.0,2609.0
slow,i7-13700,4,40000,1,5286.46,21065588217.0,67977414254.0,203193297.0,357835.0,21463.0,,,,,,
slow,i7-13700,4,40000,2,5306.82,,,,,,28372936688.0,20705458.0,50132602.0,386018.0,108374.0,2702.0
slow,i7-13700,4,40000,2,5284.96,21066273311.0,67978674553.0,203442438.0,449225.0,21842.0,,,,,,
slow,i7-13700,4,40000,3,5301.88,,,,,,28382755540.0,20751838.0,50039536.0,393259.0,110309.0,1483.0
slow,i7-13700,4,40000,3,5290.29,21080504076.0,67977411463.0,203446032.0,345707.0,22677.0,,,,,,
slow,i7-13700,4,40000,4,5307.37,,,,,,28375239558.0,20698330.0,49978203.0,447241.0,98437.0,1710.0
slow,i7-13700,4,40000,4,5279.16,21040049468.0,67978679348.0,203573436.0,385956.0,17337.0,,,,,,
slow,i7-13700,4,40000,5,5346.96,,,,,,28388568410.0,20657088.0,49842316.0,372255.0,97775.0,960.0
slow,i7-13700,4,40000,5,5287.39,21060230787.0,67978951875.0,203407243.0,364927.0,24718.0,,,,,,
slow,i7-13700,6,60000,1,11967.63,,,,,,63913546773.0,48327094.0,117883238.0,692712.0,203359.0,3927.0
slow,i7-13700,6,60000,1,11910.9,47504108835.0,153167620614.0,460249021.0,686928.0,31764.0,,,,,,
slow,i7-13700,6,60000,2,11926.74,,,,,,63932872258.0,48488163.0,118273213.0,742514.0,228572.0,3164.0
slow,i7-13700,6,60000,2,11902.87,47475656608.0,153168043579.0,460399343.0,782517.0,30275.0,,,,,,
slow,i7-13700,6,60000,3,11940.79,,,,,,63913434846.0,48345499.0,117536924.0,660414.0,178750.0,2020.0
slow,i7-13700,6,60000,3,11907.21,47484707457.0,153167716599.0,459775745.0,784221.0,32759.0,,,,,,
slow,i7-13700,6,60000,4,11952.69,,,,,,63939903076.0,48430151.0,118471642.0,829202.0,238703.0,2782.0
slow,i7-13700,6,60000,4,11930.75,47583817260.0,153170208596.0,460140903.0,868903.0,33109.0,,,,,,
slow,i7-13700,6,60000,5,11933.68,,,,,,63946553336.0,48279146.0,117927500.0,751817.0,226937.0,2545.0
slow,i7-13700,6,60000,5,11909.59,47504041748.0,153168678080.0,460568418.0,685603.0,29166.0,,,,,,
slow,i7-13700,8,80000,1,21240.25,,,,,,113581147491.0,87475850.0,213386569.0,1283481.0,427319.0,2412.0
slow,i7-13700,8,80000,1,21246.34,84763963637.0,272035471634.0,825237451.0,1354833.0,39168.0,,,,,,
